,Name,League,Age,Height(cm),Weight(kg),OVR,Potential,Value,Wage,Minutes Played,Appearances,Saves,Saves Inside the Box,Penalties Save,Clean Sheets,League Rating,International Reputation,Acceleration,Sprint Speed,Agility,Reactions,Balance,Jumping,Stamina,Strength,Aggression,Interceptions,Vision,Penalties,Composure,Diving,Handling,Kicking,Positioning,Reflexes,Link
0,Jan Oblak,La Liga,28,188,87,90,92,102000000.0,105000.0,3420,38,103,65,2,18,7.0,5,43,58,65,87,49,77,41,78,34,21,65,11,68,87,90,78,88,89,https://sofifa.com/player/200389/jan-oblak/220039/
1,Manuel Neuer,Bundesliga,35,193,93,90,90,13500000.0,86000.0,2970,33,83,59,1,9,6.0,5,54,60,51,87,35,77,43,80,29,30,70,47,70,88,88,91,89,88,https://sofifa.com/player/167495/manuel-neuer/220039/
2,Thibaut Courtois,La Liga,29,199,96,89,91,85500000.0,250000.0,3420,38,90,58,1,17,7.0,4,42,52,62,84,45,68,38,70,23,15,44,27,66,84,89,74,86,88,https://sofifa.com/player/192119/thibaut-courtois/220039/
3,Gianluigi Donnarumma,Serie A,22,196,90,89,93,119500000.0,110000.0,3330,37,92,65,1,14,6.0,3,50,55,64,85,38,72,34,72,30,26,60,24,68,91,83,79,85,90,https://sofifa.com/player/230621/gianluigi-donnarumma/220039/
4,Ederson Santana De Moraes,Premier League,27,188,86,89,91,94000000.0,200000.0,3240,36,66,37,1,19,6.0,3,64,63,60,88,48,66,41,78,38,27,70,51,70,87,82,93,88,88,https://sofifa.com/player/210257/ederson-santana-de-moraes/220039/
5,Alisson Ramses Becker,Premier League,28,191,91,89,90,82000000.0,190000.0,2970,33,84,57,1,10,6.0,3,56,47,40,87,37,52,32,78,27,11,66,23,68,86,86,84,90,89,https://sofifa.com/player/212831/alisson-ramses-becker/220039/
6,Marc Andre Ter Stegen,La Liga,29,187,85,88,90,75500000.0,230000.0,2790,31,78,44,0,11,6.0,4,45,50,39,85,43,79,35,78,43,22,70,25,70,86,85,87,85,90,https://sofifa.com/player/192448/marc-andre-ter-stegen/220039/
7,Keylor Navas,Ligue 1,34,185,80,88,88,15500000.0,130000.0,2522,29,74,47,1,15,7.0,3,54,53,60,85,61,74,39,75,32,22,68,25,67,89,84,75,87,89,https://sofifa.com/player/193041/keylor-navas/220039/
8,Hugo Lloris,Premier League,34,188,82,87,87,13500000.0,125000.0,3420,38,114,75,0,12,6.0,4,61,62,54,84,56,74,41,43,31,25,51,40,63,88,83,65,84,88,https://sofifa.com/player/167948/hugo-lloris/220039/
9,David De Gea Quintana,Premier League,30,192,76,87,87,53000000.0,150000.0,2296,26,59,39,0,9,6.0,4,57,58,63,89,43,67,43,55,38,30,61,29,63,87,80,76,84,89,https://sofifa.com/player/193080/david-de-gea-quintana/220039/
10,Edouard Mendy,Premier League,29,197,86,86,87,52000000.0,140000.0,2746,31,57,26,1,16,6.0,2,36,33,50,86,33,39,37,72,22,13,50,13,58,85,83,81,85,88,https://sofifa.com/player/234642/edouard-mendy/220039/
11,Wojciech Szczesny,Serie A,31,195,90,86,86,36000000.0,100000.0,2678,30,71,32,2,5,6.0,3,51,47,55,82,51,71,45,65,40,15,48,18,65,86,81,73,86,87,https://sofifa.com/player/186153/wojciech-szczesny/220039/
12,Mike Maignan,Ligue 1,25,191,89,85,90,63000000.0,49000.0,3420,38,87,55,1,21,7.0,2,50,53,41,84,56,74,39,78,30,25,61,15,66,84,82,85,84,88,https://sofifa.com/player/215698/mike-maignan/220039/
