Name,League,Age,Height(cm),Weight(kg),OVR,Potential,Value,Wage,Minutes Played,Appearances,Saves,Saves Inside the Box,Penalties Save,Clean Sheets,League Rating,International Reputation,Acceleration,Sprint Speed,Agility,Reactions,Balance,Jumping,Stamina,Strength,Aggression,Interceptions,Vision,Penalties,Composure,Diving,Handling,Kicking,Positioning,Reflexes,Link
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan Oblak,La Liga,28,188,87,90,92,102M,105K,3420 ,38 ,103 ,65 ,2 ,18 ,7,5,43,58,65,87,49,77,41,78,34,21,65,11,68,87,90,78,88,89,https://sofifa.com/player/200389/jan-oblak/220039/
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manuel Neuer,Bundesliga,35,193,93,90,90,13.5M,86K,2970 ,33 ,83 ,59 ,1 ,9 ,6,5,54,60,51,87,35,77,43,80,29,30,70,47,70,88,88,91,89,88,https://sofifa.com/player/167495/manuel-neuer/220039/
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gianluigi Donnarumma,Serie A,22,196,90,89,93,119.5M,110K,3330 ,37 ,92 ,65 ,1 ,14 ,6,3,50,55,64,85,38,72,34,72,30,26,60,24,68,91,83,79,85,90,https://sofifa.com/player/230621/gianluigi-donnarumma/220039/
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alisson Ramses Becker,Premier League,28,191,91,89,90,82M,190K,2970 ,33 ,84 ,57 ,1 ,10 ,6,3,56,47,40,87,37,52,32,78,27,11,66,23,68,86,86,84,90,89,https://sofifa.com/player/212831/alisson-ramses-becker/220039/
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ederson Santana De Moraes,Premier League,27,188,86,89,91,94M,200K,3240 ,36 ,66 ,37 ,1 ,19 ,6,3,64,63,60,88,48,66,41,78,38,27,70,51,70,87,82,93,88,88,https://sofifa.com/player/210257/ederson-santana-de-moraes/220039/
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
